Question,AnswerFormat,CorrectAnswer
"In 1938, a British steam locomotive set a new speed record by going how fast (mph)?",Number,126
In what year did Sir Isaac Newton publish the Universal Laws of Gravitation?,Year,1685
How many inches long is a typical business card?,Number,3.5
"The Internet (then called ""Arpanet"") was established as a military communications system in what year?",Year,1969
In what year was William Shakespeare born?,Year,1564
What is the air distance between New York and Los Angeles (miles)?,Number,2451
What percentage of a square could be covered by a circle of the same width?,Percentage,78.50%
How old was Charlie Chaplin when he died?,Number,88
"How many pounds did the first edition of ""How to Measure Anything"" weigh?",Number,1.23
The TV show Gilligan's Island first aired in what year?,Year,1964
The ancient Romans were conquered by the ancient Greeks.,Binary,FALSE
There is no species of three-humped camels.,Binary,TRUE
A gallon of oil weighs less than a gallon of water.,Binary,TRUE
Marks is always farther away from Earth than Venus.,Binary,FALSE
The Boston Red Sox won the first World Series.,Binary,TRUE
Napoleon was born on the island of corsica.,Binary,TRUE
M is one of the three most commonly used letters.,Binary,FALSE
"In 2002 the price of the average new desktop computer purchased was under $1,500.00.",Binary,TRUE
Lyndon B. Johnson was a governor before becoming vice president.,Binary,FALSE
A kilogram is more than a pound.,Binary,TRUE
